List ID,Name,Address,Town,State,Zip,Recorded,County,Telephones_1,Dates Listed_1,Telephones_2,Dates Listed_2,Affiliated Persons,Sex,Title,S.I.C. Codes_1,Industry Classifications_1,S.I.C. Codes_2,Industry Classifications_2,S.I.C. Codes_3,Industry Classifications_2
1,ALMACS INC,182 COUNTY RD,Barrington,RI,2806,Jan-94,BRISTOL COUNTY,401-245-7808,Jan-94,,,,,,54110000,Grocery stores,,,,
2,ALMACS SUPERMARKETS STORES,186 COUNTY RD,BARRINGTON,RI,2806,Recorded: 04/1994 - 01/1997,BRISTOL COUNTY,401-245-7808,04/1994 - 01/1997,,,,,,,,,,,
3,ALMACS SUPERMARKETS,1150 HOPE ST,BRISTOL,RI,2809,Recorded: 01/1988 - 01/1996,BRISTOL COUNTY,401-253-2647,01/1988 - 01/1996,,,,,,59920000,Florists,,,,
4,ALMACS SUPERMARKETS,1135 TIOGUE AVE,COVENTRY,RI,2816,Recorded: 01/1994,KENT COUNTY,401-821-2811,04/1994 - 01/1997,,,,,,54110000,Grocery stores,,,,
5,ALMACS SUPERMARKETS,543 MAIN ST,EAST GREENWICH,RI,2818,Recorded: 01/1994 - 01/1996,KENT COUNTY,401-884-6274,01/1994 - 01/1996,,,,,,54119900,Grocery stores,54110000,Grocery stores,,
6,ALMACS SUPERMARKETS STORES,543 MAIN ST,EAST GREENWICH,RI,2818,Recorded: 04/1994 - 01/1997,KENT COUNTY,401-884-6274,04/1994 - 01/1997,,,,,,54310000,Fruit and vegetable markets,,,,
7,ALMACS INC,445 PUTNAM PIKE,GREENVILLE,RI,2828,Recorded: 03/1992 - 03/1994,PROVIDENCE COUNTY,401-231-8340,03/1992 - 03/1994,,,,,,54110000,Grocery stores,,,,
8,ALMACS SUPERMARKET,445 PUTNAM PIKE,GREENVILLE,RI,2828,Recorded: 01/1994,PROVIDENCE COUNTY,401-231-8340,Jan-94,,,,,,54110000,Grocery stores,,,,
9,ALMACS SUPERMARKETS,445 PUTNAM PIKE,GREENVILLE,RI,2828,Recorded: 01/1995 - 01/1996,PROVIDENCE COUNTY,401-231-8340,01/1995 - 01/1996,,,,,,54119900,Grocery stores,,,,
10,ALMACS SUPERMARKETS STORES,445 PUTNAM PIKE,GREENVILLE,RI,2828,Recorded: 04/1994 - 08/1996,PROVIDENCE COUNTY,401-231-8340,04/1994 - 08/1996,,,,,,54310000,Fruit and vegetable markets,,,,
11,ALMACS SUPERMARKETS STORES FLORIST SHOP,445 PUTNAM PIKE,GREENVILLE,RI,2828,Recorded: 04/1994 - 01/1997,PROVIDENCE COUNTY,401-231-4820,04/1994 - 01/1997,,,,,,59920000,Florists,,,,
12,ALMACS INC,181 BELLEVUE AVE,NEWPORT,RI,2840,Recorded: 01/1989 - 06/1997,NEWPORT COUNTY,401-847-3999,01/1989 - 06/1997,,,,,,54110000,Grocery stores,54310000,Fruit and vegetable markets,,
13,ALMACS INC,181 BELVUE AVE,NEWPORT,RI,2840,Recorded: 01/1994 - 01/1996,NEWPORT COUNTY,401-847-3999,01/1994 - 01/1996,,,,,,54119900,Grocery stores,54110000,Grocery stores,,
14,ALMACS INC,E MAIN RD,NEWPORT,RI,2840,Recorded: 01/1993 - 07/1995,NEWPORT COUNTY,401-846-1158,01/1993 - 07/1995,,,,,,54110000,Grocery stores,,,,
15,ALMACS INC,E MAIN RD,MIDDLETOWN,RI,2842,Recorded: 01/1994 - 01/1995,NEWPORT COUNTY,401-846-1158,01/1994 - 01/1995,,,,,,54110000,Grocery stores,,,,
16,ALMACS INC,288 E MAIN RD,MIDDLETOWN,RI,2842,Recorded: 01/1994 - 01/1995,NEWPORT COUNTY,401-846-1158,01/1994 - 01/1995,,,,,,54119900,Grocery stores,54110000,Grocery stores,,
17,ALMACS SUPERMARKETS,5941 POST RD,NORTH KINGSTOWN,RI,02852-1301,Recorded: 01/1994 - 10/2003,WASHINGTON COUNTY,401-884-0945,01/1994 - 10/2003,,,,,,54110000,Grocery stores,,,,
18,ALMACS,7715 POST RD,NORTH KINGSTOWN,RI,2852,Recorded: 01/1992 - 06/1997,WASHINGTON COUNTY,401-295-5293,01/1992 - 06/1997,,,,,,51410000,"Groceries, general line",51490000,"Groceries and related products, nec",,
19,ALMACS FLORIST SHOP,7715 POST RD,NORTH KINGSTOWN,RI,2852,Recorded: 11/1993 - 07/1995,WASHINGTON COUNTY,401-295-1166,11/1993 - 07/1995,,,,,,59920000,Florists,,,,
20,ALMACS SUPERMARKETS STORES,BARTON,PAWTUCKET,RI,2860,Recorded: 04/1994 - 01/1997,PROVIDENCE COUNTY,401-722-2615,04/1994 - 01/1997,,,,,,,,,,,
21,ALMACS SUPERMARKETS,407 EAST AVE,PAWTUCKET,RI,2860,Recorded: 01/1987 - 01/1996,PROVIDENCE COUNTY,401-724-2179,01/1987 - 01/1996,,,,,,54110000,Grocery stores,54119900,Grocery stores,,
22,ALMACS SUPERMARKETS STORES,407 EAST AVE,PAWTUCKET,RI,2860,Recorded: 04/1994 - 01/1997,PROVIDENCE COUNTY,401-724-2179,04/1994 - 01/1997,,,,,,54310000,Fruit and vegetable markets,,,,
23,ALMACS SUPERMARKETS,30 HIGGINSON AVE,CENTRAL FALLS,RI,2863,Recorded: 01/1994,PROVIDENCE COUNTY,401-726-3600,Jan-94,,,,,,54110000,Grocery stores,,,,
24,ALMACS SUPERMARKETS,75 MENDON RD,CUMBERLAND,RI,2864,Recorded: 01/1994,PROVIDENCE COUNTY,401-724-8730,Jan-94,,,,,,54110000,Grocery stores,,,,
25,ALMACS SUPERMARKETS,LINCOLN,LINCOLN,RI,2865,Recorded: 01/1994 - 01/1996,PROVIDENCE COUNTY,401-333-5675,01/1994 - 01/1996,,,,,,54119900,Grocery stores,54110000,Grocery stores,,
26,ALMACS SUPERMARKETS,LINCOLN MALL,LINCOLN,RI,2865,Recorded: 01/1992 - 01/1996,PROVIDENCE COUNTY,401-333-5675,01/1992 - 01/1996,,,,,,54110000,Grocery stores,,,,
27,ALMACS SUPERMARKETS STORES,LINCOLN MALL,LINCOLN,RI,2865,Recorded: 04/1994 - 01/1997,PROVIDENCE COUNTY,401-333-5675,04/1994 - 01/1997,,,,,,54310000,Fruit and vegetable markets,,,,
28,ALMACS,401 KINGSTOWN RD,WAKEFIELD,RI,2879,Recorded: 01/1994 - 01/1996,WASHINGTON COUNTY,401-789-7098,01/1994 - 01/1996,,,,,,54119900,Grocery stores,54110000,Grocery stores,,
29,ALMACS INC,401 KINGSTOWN RD,WAKEFIELD,RI,2879,Recorded: 01/1988 - 06/1997,WASHINGTON COUNTY,401-783-1740,01/1988 - 01/1996,401-789-7098,01/1996 - 06/1997,"MESTRADDA, MIKE",,,59920000,Florists,54310000,,,
30,ALMACS INC FLORIST SHOP,401 KINGSTOWN RD,WAKEFIELD,RI,2879,Recorded: 01/1996 - 06/1997,WASHINGTON COUNTY,401-783-1740,01/1996 - 06/1997,,,,,,59920000,Florists,,,,
