"shapeid","x","y","List ID","Name","Address","Town","State","Zip","Recorded","County","Telephones","Dates List","Affiliated","Sex","Title","S.I.C. Cod","Industry C","addrtype","addrlocat"
"0","-71.3040276","41.7372571","1","ALMACS INC","182 COUNTY RD","Barrington","RI","2806","Jan-94","BRISTOL COUNTY","401-245-7808","Jan-94","NULL","NULL","NULL","NULL","NULL","54110000","Grocery stores"
"1","-71.3068584","41.7367765","2","ALMACS SUPERMARKETS STORES","186 COUNTY RD","BARRINGTON","RI","2806","Recorded: 04/1994 - 01/1997","BRISTOL COUNTY","401-245-7808","04/1994 - 01/1997","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"2","-71.2782103","41.6932341","3","ALMACS SUPERMARKETS","1150 HOPE ST","BRISTOL","RI","2809","Recorded: 01/1988 - 01/1996","BRISTOL COUNTY","401-253-2647","01/1988 - 01/1996","NULL","NULL","NULL","NULL","NULL","59920000","Florists"
"3","-71.5813653","41.6790312","4","ALMACS SUPERMARKETS","1135 TIOGUE AVE","COVENTRY","RI","2816","Recorded: 01/1994","KENT COUNTY","401-821-2811","04/1994 - 01/1997","NULL","NULL","NULL","NULL","NULL","54110000","Grocery stores"
"4","-71.4526002","41.6567813","5","ALMACS SUPERMARKETS","543 MAIN ST","EAST GREENWICH","RI","2818","Recorded: 01/1994 - 01/1996","KENT COUNTY","401-884-6274","01/1994 - 01/1996","NULL","NULL","NULL","NULL","NULL","54119900","Grocery stores"
"5","-71.4526002","41.6567813","6","ALMACS SUPERMARKETS STORES","543 MAIN ST","EAST GREENWICH","RI","2818","Recorded: 04/1994 - 01/1997","KENT COUNTY","401-884-6274","04/1994 - 01/1997","NULL","NULL","NULL","NULL","NULL","54310000","Fruit and vegetable markets"
"6","-71.5287903","41.8709887","7","ALMACS INC","445 PUTNAM PIKE","GREENVILLE","RI","2828","Recorded: 03/1992 - 03/1994","PROVIDENCE COUNTY","401-231-8340","03/1992 - 03/1994","NULL","NULL","NULL","NULL","NULL","54110000","Grocery stores"
"7","-71.5287903","41.8709887","8","ALMACS SUPERMARKET","445 PUTNAM PIKE","GREENVILLE","RI","2828","Recorded: 01/1994","PROVIDENCE COUNTY","401-231-8340","Jan-94","NULL","NULL","NULL","NULL","NULL","54110000","Grocery stores"
"8","-71.5287903","41.8709887","9","ALMACS SUPERMARKETS","445 PUTNAM PIKE","GREENVILLE","RI","2828","Recorded: 01/1995 - 01/1996","PROVIDENCE COUNTY","401-231-8340","01/1995 - 01/1996","NULL","NULL","NULL","NULL","NULL","54119900","Grocery stores"
"9","-71.5287903","41.8709887","10","ALMACS SUPERMARKETS STORES","445 PUTNAM PIKE","GREENVILLE","RI","2828","Recorded: 04/1994 - 08/1996","PROVIDENCE COUNTY","401-231-8340","04/1994 - 08/1996","NULL","NULL","NULL","NULL","NULL","54310000","Fruit and vegetable markets"
"10","-71.5287903","41.8709887","11","ALMACS SUPERMARKETS STORES FLORIST SHOP","445 PUTNAM PIKE","GREENVILLE","RI","2828","Recorded: 04/1994 - 01/1997","PROVIDENCE COUNTY","401-231-4820","04/1994 - 01/1997","NULL","NULL","NULL","NULL","NULL","59920000","Florists"
"11","-71.3099051","41.4827483","12","ALMACS INC","181 BELLEVUE AVE","NEWPORT","RI","2840","Recorded: 01/1989 - 06/1997","NEWPORT COUNTY","401-847-3999","01/1989 - 06/1997","NULL","NULL","NULL","NULL","NULL","54110000","Grocery stores"
"12","-71.3099051","41.4827483","13","ALMACS INC","181 BELVUE AVE","NEWPORT","RI","2840","Recorded: 01/1994 - 01/1996","NEWPORT COUNTY","401-847-3999","01/1994 - 01/1996","NULL","NULL","NULL","NULL","NULL","54119900","Grocery stores"
"13","-71.2782181","41.5247242","14","ALMACS INC","E MAIN RD","NEWPORT","RI","2840","Recorded: 01/1993 - 07/1995","NEWPORT COUNTY","401-846-1158","01/1993 - 07/1995","NULL","NULL","NULL","NULL","NULL","54110000","Grocery stores"
"14","-71.2707092","41.5326946","15","ALMACS INC","E MAIN RD","MIDDLETOWN","RI","2842","Recorded: 01/1994 - 01/1995","NEWPORT COUNTY","401-846-1158","01/1994 - 01/1995","NULL","NULL","NULL","NULL","NULL","54110000","Grocery stores"
"15","-71.2918338","41.52013","16","ALMACS INC","288 E MAIN RD","MIDDLETOWN","RI","2842","Recorded: 01/1994 - 01/1995","NEWPORT COUNTY","401-846-1158","01/1994 - 01/1995","NULL","NULL","NULL","NULL","NULL","54119900","Grocery stores"
"16","-71.470054","41.632494","17","ALMACS SUPERMARKETS","5941 POST RD","NORTH KINGSTOWN","RI","02852-1301","Recorded: 01/1994 - 10/2003","WASHINGTON COUNTY","401-884-0945","01/1994 - 10/2003","NULL","NULL","NULL","NULL","NULL","54110000","Grocery stores"
"17","-71.4594735","41.5884432","18","ALMACS","7715 POST RD","NORTH KINGSTOWN","RI","2852","Recorded: 01/1992 - 06/1997","WASHINGTON COUNTY","401-295-5293","01/1992 - 06/1997","NULL","NULL","NULL","NULL","NULL","51410000","Groceries, general line"
"18","-71.4594735","41.5884432","19","ALMACS FLORIST SHOP","7715 POST RD","NORTH KINGSTOWN","RI","2852","Recorded: 11/1993 - 07/1995","WASHINGTON COUNTY","401-295-1166","11/1993 - 07/1995","NULL","NULL","NULL","NULL","NULL","59920000","Florists"
"19","-71.3894349","41.8813899","20","ALMACS SUPERMARKETS STORES","BARTON","PAWTUCKET","RI","2860","Recorded: 04/1994 - 01/1997","PROVIDENCE COUNTY","401-722-2615","04/1994 - 01/1997","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"20","-71.387888","41.868055","21","ALMACS SUPERMARKETS","407 EAST AVE","PAWTUCKET","RI","2860","Recorded: 01/1987 - 01/1996","PROVIDENCE COUNTY","401-724-2179","01/1987 - 01/1996","NULL","NULL","NULL","NULL","NULL","54110000","Grocery stores"
"21","-71.387888","41.868055","22","ALMACS SUPERMARKETS STORES","407 EAST AVE","PAWTUCKET","RI","2860","Recorded: 04/1994 - 01/1997","PROVIDENCE COUNTY","401-724-2179","04/1994 - 01/1997","NULL","NULL","NULL","NULL","NULL","54310000","Fruit and vegetable markets"
"22","-71.404779","41.88581","23","ALMACS SUPERMARKETS","30 HIGGINSON AVE","CENTRAL FALLS","RI","2863","Recorded: 01/1994","PROVIDENCE COUNTY","401-726-3600","Jan-94","NULL","NULL","NULL","NULL","NULL","54110000","Grocery stores"
"23","-71.4039218","41.9141294","24","ALMACS SUPERMARKETS","75 MENDON RD","CUMBERLAND","RI","2864","Recorded: 01/1994","PROVIDENCE COUNTY","401-724-8730","Jan-94","NULL","NULL","NULL","NULL","NULL","54110000","Grocery stores"
"24","-71.4999508","41.881466","25","ALMACS SUPERMARKETS","LINCOLN","LINCOLN","RI","2865","Recorded: 01/1994 - 01/1996","PROVIDENCE COUNTY","401-333-5675","01/1994 - 01/1996","NULL","NULL","NULL","NULL","NULL","54119900","Grocery stores"
"25","-71.4999508","41.881466","26","ALMACS SUPERMARKETS","LINCOLN MALL","LINCOLN","RI","2865","Recorded: 01/1992 - 01/1996","PROVIDENCE COUNTY","401-333-5675","01/1992 - 01/1996","NULL","NULL","NULL","NULL","NULL","54110000","Grocery stores"
"26","-71.4999508","41.881466","27","ALMACS SUPERMARKETS STORES","LINCOLN MALL","LINCOLN","RI","2865","Recorded: 04/1994 - 01/1997","PROVIDENCE COUNTY","401-333-5675","04/1994 - 01/1997","NULL","NULL","NULL","NULL","NULL","54310000","Fruit and vegetable markets"
"27","-71.4855709","41.4374217","28","ALMACS","401 KINGSTOWN RD","WAKEFIELD","RI","2879","Recorded: 01/1994 - 01/1996","WASHINGTON COUNTY","401-789-7098","01/1994 - 01/1996","NULL","NULL","NULL","NULL","NULL","54119900","Grocery stores"
"28","-71.4855709","41.4374217","29","ALMACS INC","401 KINGSTOWN RD","WAKEFIELD","RI","2879","Recorded: 01/1988 - 06/1997","WASHINGTON COUNTY","401-783-1740","01/1988 - 01/1996","401-789-7098","01/1996 - 06/1997","MESTRADDA, MIKE","NULL","NULL","59920000","Florists"
"29","-71.4855709","41.4374217","30","ALMACS INC FLORIST SHOP","401 KINGSTOWN RD","WAKEFIELD","RI","2879","Recorded: 01/1996 - 06/1997","WASHINGTON COUNTY","401-783-1740","01/1996 - 06/1997","NULL","NULL","NULL","NULL","NULL","59920000","Florists"
"30","-71.6140651","41.3935103","31","ALMACS FLORIST SHOP","7715 POST RD","WAKEFIELD","RI","2879","Recorded: 03/1992 - 07/1995","WASHINGTON COUNTY","401-295-1166","03/1992 - 07/1995","NULL","NULL","NULL","NULL","NULL","59920000","Florists"
"31","-71.430988","41.700916","32","ALMACS INC","205 BUTTONWOODS AVE","WARWICK","RI","2886","Recorded: 01/1975 - 01/1996","KENT COUNTY","401-438-2700","01/1975 - 01/1996","NULL","NULL","ORSI, ROBERT P","NULL","NULL","65120000","Nonresidential building operators"
"32","-71.4315424","41.701631","33","ALMACS SUPERMARKETS","3030 W SHORE RD","WARWICK","RI","2886","Recorded: 01/1987 - 01/1996","KENT COUNTY","401-739-3181","01/1987 - 01/1996","NULL","NULL","NULL","NULL","NULL","54110000","Grocery stores"
"33","-71.4315424","41.701631","34","ALMACS SUPERMARKETS STORES","3030 W SHORE RD","WARWICK","RI","2886","Recorded: 04/1994 - 01/1997","KENT COUNTY","401-739-3181","04/1994 - 01/1997","NULL","NULL","NULL","NULL","NULL","54310000","Fruit and vegetable markets"
"34","-71.4050993","41.7552617","35","ALMACS SUPERMARKETS","767 WARWICK AVE","WARWICK","RI","2888","Recorded: 01/1994","KENT COUNTY","401-461-8370","Jan-94","NULL","NULL","NULL","NULL","NULL","54110000","Grocery stores"
